model,strategy,fits,cv_pr_auc,holdout_pr_auc,holdout_roc_auc,seconds,cand_worst,cand_spread
HistGradientBoosting (bayes),BayesSearchCV,36,0.9062252655853662,0.9063936772941871,0.9740586206800781,123.6,0.9016563211174337,0.004568944467932545
HistGradientBoosting (random),RandomizedSearchCV,36,0.9066735820076103,0.9063300223515574,0.974125536743739,68.2,0.902623719760068,0.004049862247542224
HistGradientBoosting,manual,1,,0.9062749502023966,0.9739143755180347,8.6,,
Logistic Regression,manual,1,,0.9022412990313997,0.9731263015921809,0.6,,
Logistic Regression,GridSearchCV,30,0.9034945517934037,0.9022112375229954,0.9731021630565556,20.2,0.9014666476304959,0.0020279041629077676
