model,rule,threshold,val_precision,val_recall,val_f1,val_f2,test_precision,test_recall,test_f1,test_f2
Logistic Regression,f1,0.7324573248520571,0.8065994500458296,0.8603832616347282,0.8326237108524931,0.8490602446837251,0.7911151405258386,0.8533150792098573,0.8210387655250283,0.8401047483344245
Logistic Regression,f2,0.4637583121551839,0.6912955465587044,0.9348846304262808,0.7948462177888612,0.8733377173754201,0.6801313160148444,0.9319381967533737,0.7863685122534864,0.8676888338553427
Logistic Regression,recall_at_precision,0.1335798023898518,0.5,0.9806413766132186,0.6623085050184891,0.8225086925145968,0.4933097205824479,0.9806375904557012,0.656411599135956,0.8188528873791482
Logistic Regression,default_0.5,0.5,,,,,0.6953963818208561,0.92470174066106,0.7938213566151779,0.8674911012439911
HistGradientBoosting,f1,0.7576704130763792,0.8158486324466092,0.8515838873680094,0.8333333333333334,0.8441885709855007,0.8063913287236031,0.8439272442792881,0.8247324159021406,0.8361430841375033
HistGradientBoosting,f2,0.4917966345763249,0.7136192626034612,0.9272585060617912,0.8065311676162937,0.8748754658499686,0.7080149812734082,0.9243105808722863,0.8018323719036307,0.8710878460574335
HistGradientBoosting,recall_at_precision,0.09948702465977403,0.5,0.980054751662104,0.6621746597965384,0.8221784776902886,0.49629336759909065,0.9820066497164092,0.6593565331582403,0.8212568288135039
HistGradientBoosting,default_0.5,0.5,,,,,0.7103043085266647,0.9221592020340309,0.8024848949025616,0.8702473237356957
