model,variant,bin,mean_predicted,observed_frequency,roc_auc,pr_auc
Logistic Regression,raw,0,0.0003451805551798286,0.00035536602700781805,0.9728188537693202,0.8999015531926993
Logistic Regression,raw,1,0.0015219016030385906,0.0007107320540156361,0.9728188537693202,0.8999015531926993
Logistic Regression,raw,2,0.004054915187073122,0.0007107320540156361,0.9728188537693202,0.8999015531926993
Logistic Regression,raw,3,0.009565504560325094,0.0039090262970859985,0.9728188537693202,0.8999015531926993
Logistic Regression,raw,4,0.022766844798377813,0.006396588486140725,0.9728188537693202,0.8999015531926993
Logistic Regression,raw,5,0.05600879252464357,0.010660980810234541,0.9728188537693202,0.8999015531926993
Logistic Regression,raw,6,0.1589181350245443,0.042643923240938165,0.9728188537693202,0.8999015531926993
Logistic Regression,raw,7,0.4698788537274345,0.1851457000710732,0.9728188537693202,0.8999015531926993
Logistic Regression,raw,8,0.8722697715686022,0.6183368869936035,0.9728188537693202,0.8999015531926993
Logistic Regression,raw,9,0.9871148838963449,0.9481165600568585,0.9728188537693202,0.8999015531926993
Logistic Regression,sigmoid,0,9.11165023440046e-05,0.00035536602700781805,0.9728188537693202,0.8999015531926993
Logistic Regression,sigmoid,1,0.0003919586857413527,0.0007107320540156361,0.9728188537693202,0.8999015531926993
Logistic Regression,sigmoid,2,0.0010272213413942861,0.0007107320540156361,0.9728188537693202,0.8999015531926993
Logistic Regression,sigmoid,3,0.0023940647813677834,0.0039090262970859985,0.9728188537693202,0.8999015531926993
Logistic Regression,sigmoid,4,0.005663190839034476,0.006396588486140725,0.9728188537693202,0.8999015531926993
Logistic Regression,sigmoid,5,0.014078273603360891,0.010660980810234541,0.9728188537693202,0.8999015531926993
Logistic Regression,sigmoid,6,0.04307382376833205,0.042643923240938165,0.9728188537693202,0.8999015531926993
Logistic Regression,sigmoid,7,0.18088235853284254,0.1851457000710732,0.9728188537693202,0.8999015531926993
Logistic Regression,sigmoid,8,0.6266646569647063,0.6183368869936035,0.9728188537693202,0.8999015531926993
Logistic Regression,sigmoid,9,0.9429752687790937,0.9481165600568585,0.9728188537693202,0.8999015531926993
Logistic Regression,isotonic,0,0.0,0.0004371584699453552,0.9726429235942049,0.8935616867959038
Logistic Regression,isotonic,1,0.0015003681859908438,0.0003588087549336204,0.9726429235942049,0.8935616867959038
Logistic Regression,isotonic,2,0.0020133975580142343,0.0031746031746031746,0.9726429235942049,0.8935616867959038
Logistic Regression,isotonic,3,0.004347116127184455,0.0037313432835820895,0.9726429235942049,0.8935616867959038
Logistic Regression,isotonic,4,0.006602969831144249,0.006894649751792609,0.9726429235942049,0.8935616867959038
Logistic Regression,isotonic,5,0.013773839352411563,0.013651877133105802,0.9726429235942049,0.8935616867959038
Logistic Regression,isotonic,6,0.0514825376724103,0.054371331479765216,0.9726429235942049,0.8935616867959038
Logistic Regression,isotonic,7,0.20073475310780822,0.20771899392888118,0.9726429235942049,0.8935616867959038
Logistic Regression,isotonic,8,0.639632308750995,0.6340468909276249,0.9726429235942049,0.8935616867959038
Logistic Regression,isotonic,9,0.9569640290950111,0.9517527327553713,0.9726429235942049,0.8935616867959038
HistGradientBoosting,raw,0,0.0010665459204335305,0.00035536602700781805,0.9734594422617228,0.9040339047060248
HistGradientBoosting,raw,1,0.003158207331360625,0.0010660980810234541,0.9734594422617228,0.9040339047060248
HistGradientBoosting,raw,2,0.006255643941804644,0.0017768301350390902,0.9734594422617228,0.9040339047060248
HistGradientBoosting,raw,3,0.01107411554660318,0.0035536602700781805,0.9734594422617228,0.9040339047060248
HistGradientBoosting,raw,4,0.020150790520513762,0.004619758351101635,0.9734594422617228,0.9040339047060248
HistGradientBoosting,raw,5,0.04275500907033287,0.009594882729211088,0.9734594422617228,0.9040339047060248
HistGradientBoosting,raw,6,0.12005336497770784,0.04406538734896944,0.9734594422617228,0.9040339047060248
HistGradientBoosting,raw,7,0.43533081453803674,0.1808813077469794,0.9734594422617228,0.9040339047060248
HistGradientBoosting,raw,8,0.8751717795310654,0.6243781094527363,0.9734594422617228,0.9040339047060248
HistGradientBoosting,raw,9,0.9824183693825795,0.9466950959488273,0.9734594422617228,0.9040339047060248
HistGradientBoosting,sigmoid,0,0.00028603778759528055,0.00035536602700781805,0.9734594422617228,0.9040339047060248
HistGradientBoosting,sigmoid,1,0.0008385459566833988,0.0010660980810234541,0.9734594422617228,0.9040339047060248
HistGradientBoosting,sigmoid,2,0.0016518722686850568,0.0017768301350390902,0.9734594422617228,0.9040339047060248
HistGradientBoosting,sigmoid,3,0.0029156058975926586,0.0035536602700781805,0.9734594422617228,0.9040339047060248
HistGradientBoosting,sigmoid,4,0.005305755625945869,0.004619758351101635,0.9734594422617228,0.9040339047060248
HistGradientBoosting,sigmoid,5,0.011366605380983058,0.009594882729211088,0.9734594422617228,0.9040339047060248
HistGradientBoosting,sigmoid,6,0.03386478294890117,0.04406538734896944,0.9734594422617228,0.9040339047060248
HistGradientBoosting,sigmoid,7,0.17555142490367748,0.1808813077469794,0.9734594422617228,0.9040339047060248
HistGradientBoosting,sigmoid,8,0.6532352798646779,0.6243781094527363,0.9734594422617228,0.9040339047060248
HistGradientBoosting,sigmoid,9,0.9307956818614609,0.9466950959488273,0.9734594422617228,0.9040339047060248
HistGradientBoosting,isotonic,0,0.00023724086073228652,0.0006981615080288574,0.9733243870699632,0.8976692309599674
HistGradientBoosting,isotonic,1,0.0015876343471119385,0.0016438356164383563,0.9733243870699632,0.8976692309599674
HistGradientBoosting,isotonic,2,0.0023959922993206572,0.0031128404669260703,0.9733243870699632,0.8976692309599674
HistGradientBoosting,isotonic,3,0.00686985988946836,0.00487012987012987,0.9733243870699632,0.8976692309599674
HistGradientBoosting,isotonic,4,0.0176680781172578,0.015418502202643172,0.9733243870699632,0.8976692309599674
HistGradientBoosting,isotonic,5,0.04673664209365583,0.0500406834825061,0.9733243870699632,0.8976692309599674
HistGradientBoosting,isotonic,6,0.18067124169536153,0.18689581095596133,0.9733243870699632,0.8976692309599674
HistGradientBoosting,isotonic,7,0.6332663210608994,0.6349372384937239,0.9733243870699632,0.8976692309599674
HistGradientBoosting,isotonic,8,0.9566590388374685,0.9530845954931658,0.9733243870699632,0.8976692309599674
